"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (10)";"Code_2 (20)";"Code_3 (10)";"Code_4 (10)";"Code_5 (10)";"Total_Marks (100)";"Comments"
21CS10078;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30008;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG10021;10;10;10;0;10;20;5;10;10;85;Use switch case to get output in a faster and easier way.~~~~========= TEST CASES =========~~~~~~PASSED: Test Case 1: ~~~~IN:~~Enter day and month: 41 10~~~~Exp OUT:~~Invalid date~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 2: ~~~~IN:~~Enter day and month: 17 11~~~~Exp OUT:~~Thursday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 3: ~~~~IN:~~Enter day and month: 1 1~~~~Exp OUT:~~Saturday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Test Case 4: ~~~~IN:~~Enter day and month: 12 8~~~~Exp OUT:~~Friday~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Calculated for Invalid Date~~  Mark/s obtained: 20 out of 20~~~~~~FAILED: Code Case 3:~~Calculated for Valid Date~~  Mark/s obtained: 5 out of 10~~~~~~PASSED: Code Case 4:~~Printed the correct Day~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed Output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 85 ############
22CS10049;10;10;10;10;10;20;10;10;10;100;Use switch case to get output in a faster and easier way~~~~========= TEST CASES =========~~~~~~PASSED: Test Case 1: ~~~~IN:~~Enter day and month: 41 10~~~~Exp OUT:~~Invalid date~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 2: ~~~~IN:~~Enter day and month: 17 11~~~~Exp OUT:~~Thursday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 3: ~~~~IN:~~Enter day and month: 1 1~~~~Exp OUT:~~Saturday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 4: ~~~~IN:~~Enter day and month: 12 8~~~~Exp OUT:~~Friday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Calculated for Invalid Date~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Calculated for Valid Date~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Printed the correct Day~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed Output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22MT10042;10;10;10;10;10;20;10;10;10;100;Keep it up~~~~========= TEST CASES =========~~~~~~PASSED: Test Case 1: ~~~~IN:~~Enter day and month: 41 10~~~~Exp OUT:~~Invalid date~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 2: ~~~~IN:~~Enter day and month: 17 11~~~~Exp OUT:~~Thursday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 3: ~~~~IN:~~Enter day and month: 1 1~~~~Exp OUT:~~Saturday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 4: ~~~~IN:~~Enter day and month: 12 8~~~~Exp OUT:~~Friday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Calculated for Invalid Date~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Calculated for Valid Date~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Printed the correct Day~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed Output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS10009;0;0;0;0;10;0;0;0;0;10;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~Calculated for Invalid Date~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 3:~~Calculated for Valid Date~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Printed the correct Day~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed Output~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 10 ############
22IM30014;10;10;10;10;10;20;10;10;10;100;Perfect~~~~========= TEST CASES =========~~~~~~PASSED: Test Case 1: ~~~~IN:~~Enter day and month: 41 10~~~~Exp OUT:~~Invalid date~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 2: ~~~~IN:~~Enter day and month: 17 11~~~~Exp OUT:~~Thursday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 3: ~~~~IN:~~Enter day and month: 1 1~~~~Exp OUT:~~Saturday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 4: ~~~~IN:~~Enter day and month: 12 8~~~~Exp OUT:~~Friday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Calculated for Invalid Date~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Calculated for Valid Date~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Printed the correct Day~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed Output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22EE30027;10;10;10;10;10;20;10;10;10;100;Keep it up~~~~========= TEST CASES =========~~~~~~PASSED: Test Case 1: ~~~~IN:~~Enter day and month: 41 10~~~~Exp OUT:~~Invalid date~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 2: ~~~~IN:~~Enter day and month: 17 11~~~~Exp OUT:~~Thursday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 3: ~~~~IN:~~Enter day and month: 1 1~~~~Exp OUT:~~Saturday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 4: ~~~~IN:~~Enter day and month: 12 8~~~~Exp OUT:~~Friday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Calculated for Invalid Date~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Calculated for Valid Date~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Printed the correct Day~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed Output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AG30028;0;0;0;0;0;0;0;0;0;0;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Input taken~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~Calculated for Invalid Date~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 3:~~Calculated for Valid Date~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Printed the correct Day~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Printed Output~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MI10032;10;10;10;10;10;20;10;10;10;100;Good work~~~~========= TEST CASES =========~~~~~~PASSED: Test Case 1: ~~~~IN:~~Enter day and month: 41 10~~~~Exp OUT:~~Invalid date~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 2: ~~~~IN:~~Enter day and month: 17 11~~~~Exp OUT:~~Thursday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 3: ~~~~IN:~~Enter day and month: 1 1~~~~Exp OUT:~~Saturday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Test Case 4: ~~~~IN:~~Enter day and month: 12 8~~~~Exp OUT:~~Friday~~~~~~  Mark/s obtained: 10 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Calculated for Invalid Date~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 3:~~Calculated for Valid Date~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Printed the correct Day~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed Output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
