"Student_Name";"Test_Case_1 (20)";"Test_Case_2 (20)";"Code_1 (10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (20)";"Total_Marks (100)";"Comments"
21CS30010;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21CS10078;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30008;20;20;10;10;10;10;20;100;Nice work~~~~========= TEST CASES =========~~~~~~Your output:~~Enter the number of nodesEnter the elements you want to be in listMaximum number is 9Minimum number is 1~~~~Your output:~~Enter the number of nodesEnter the elements you want to be in listMaximum number is 0Minimum number is 2~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Stucture for node defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked List stored~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~checked min~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~checked max~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Checked for duplicates~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AG10021;20;20;10;10;10;10;20;100;Good work~~~~========= TEST CASES =========~~~~~~Your output:~~Enter how many numbers you will inputThe input list contains duplicate number of:1,7629569257629569254199848,7629569257629569256421920,76295692576295692512,762956925762956925762956925~~~~Your output:~~Enter how many numbers you will inputThe input list contains duplicate number of:2,7629569257629569254199848,7629569257629569256421920,7629569257629569259,762956925762956925762956925~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Stucture for node defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked List stored~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~checked min~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~checked max~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Checked for duplicates~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS10049;20;20;10;10;10;10;20;100;Clean Code~~~~========= TEST CASES =========~~~~~~Your output:~~Enter the total number of elements = The input list contains duplicate numbers of: 1 2 ~~Maximum number is: 9~~Minimum number is: 1~~~~~~Your output:~~Enter the total number of elements = The input list contains duplicate numbers of: ~~Maximum number is: 9~~Minimum number is: 1~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Stucture for node defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked List stored~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~checked min~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~checked max~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Checked for duplicates~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22MT10042;0;0;10;10;10;10;20;60;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Stucture for node defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked List stored~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~checked min~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~checked max~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Checked for duplicates~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
22CS10009;0;0;0;0;0;0;0;0;========= TEST CASES =========~~~~~~Your output:~~Enter the no.of employee(s) ~~ enter name of employee-1 :enter wages per day of employee -1 :enter no.of days present by  employee-1 :enter name of employee-2 :enter wages per day of employee -2 :enter no.of days present by  employee-2 :enter name of employee-3 :enter wages per day of employee -3 :enter no.of days present by  employee-3 :enter name of employee-4 :enter wages per day of employee -4 :enter no.of days present by  employee-4 :enter name of employee-5 :enter wages per day of employee...~~~~FAILED: Test Case 1: ~~Input:~~L = {1, 2, 3, 9, 7, 7, 6, 5, 4, 3, 2, 1}~~Outpt:~~The input list contains duplicate numbers of: 1, 2, 3, 7.~~Minimum number is: 1~~Maximum number is: 9 ~~  Mark/s obtained: 0 out of 20~~~~~~Your output:~~Enter the no.of employee(s) ~~ enter name of employee-1 :enter wages per day of employee -1 :enter no.of days present by  employee-1 :enter name of employee-2 :enter wages per day of employee -2 :enter no.of days present by  employee-2 :enter name of employee-3 :enter wages per day of employee -3 :enter no.of days present by  employee-3 :enter name of employee-4 :enter wages per day of employee -4 :enter no.of days present by  employee-4 :enter name of employee-5 :enter wages per day of employee...~~~~FAILED: Test Case 2: ~~Input:~~L = {2, 4, 6, 8, 9, 7, 5, 3, 1}~~Output:~~The input list does not contain any duplicate~~number.~~Minimum number is: 1~~Maximum number is: 9 ~~  Mark/s obtained: 0 out of 20~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Stucture for node defined~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~Linked List stored~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~checked min~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~checked max~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Checked for duplicates~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22IM30014;20;20;10;10;10;10;20;100;Good work~~~~========= TEST CASES =========~~~~~~Your output:~~The duplicate are ~~1 2 3 7 Minimum no. is 1~~Maximum no. is 9~~~~~~Your output:~~The input list doesnot contain any duplicate no. ~~Minimum no. is 1~~Maximum no. is 9~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Stucture for node defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked List stored~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~checked min~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~checked max~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Checked for duplicates~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22EE30027;0;0;0;0;0;0;0;0;========= TEST CASES =========~~~~~~Your output:~~Name wage days:~~~~Name:1~~Netpay:6.72~~~~Name:9~~Netpay:54.88~~~~Name:6~~Netpay:22.40~~~~Name:3~~Netpay:2.24~~~~Name:3~~Netpay:2.24~~~~Name:3~~Netpay:2.24~~~~Name:3~~Netpay:2.24~~~~Name:3~~Netpay:2.24~~~~Name:3~~Netpay:2.24~~~~Name:3~~Netpay:2.24~~~~Name:3~~Netpay:2.24~~~~Name:3~~Netpay:2.24~~~~~~FAILED: Test Case 1: ~~Input:~~L = {1, 2, 3, 9, 7, 7, 6, 5, 4, 3, 2, 1}~~Outpt:~~The input list contains duplicate numbers of: 1, 2, 3, 7.~~Minimum number is: 1~~Maximum number is: 9 ~~  Mark/s obtained: 0 out of 20~~~~~~Your output:~~Name wage days:~~~~Name:2~~Netpay:26.88~~~~Name:8~~Netpay:70.56~~~~Name:5~~Netpay:3.36~~~~Name:5~~Netpay:3.36~~~~Name:5~~Netpay:3.36~~~~Name:5~~Netpay:3.36~~~~Name:5~~Netpay:3.36~~~~Name:5~~Netpay:3.36~~~~Name:5~~Netpay:3.36~~~~~~FAILED: Test Case 2: ~~Input:~~L = {2, 4, 6, 8, 9, 7, 5, 3, 1}~~Output:~~The input list does not contain any duplicate~~number.~~Minimum number is: 1~~Maximum number is: 9 ~~  Mark/s obtained: 0 out of 20~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Stucture for node defined~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~Linked List stored~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~checked min~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~checked max~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Checked for duplicates~~  Mark/s obtained: 0 out of 20~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30028;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
