"Student_Name";"Test_Case_1 (20)";"Test_Case_2 (20)";"Code_1 (10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (20)";"Code_5 (10)";"Total_Marks (100)";"Comments"
21CS30010;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21CS10078;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30008;0;0;10;10;10;20;10;60;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Stucture for node defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked List stored~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~checked odd~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~removed odd numbers~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 5:~~printed list~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
22AG10021;20;20;10;10;10;20;10;100;Great Job~~~~========= TEST CASES =========~~~~~~Your output:~~[Code goes into an Infinite Loop]~~~~Your output:~~[Code goes into an Infinite Loop]~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Stucture for node defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked List stored~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~checked odd~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~removed odd numbers~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 5:~~printed list~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS10049;0;0;10;10;10;20;10;60;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Stucture for node defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked List stored~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~checked odd~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~removed odd numbers~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 5:~~printed list~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
22MT10042;0;0;10;10;10;20;10;60;========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Stucture for node defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked List stored~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~checked odd~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~removed odd numbers~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 5:~~printed list~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
22CS10009;0;0;0;0;0;0;0;0;========= TEST CASES =========~~~~~~Your output:~~Enter Z1 :~~Enter Z2 :~~The sum is 10.0 + 4.0i~~~~FAILED: Test Case 1: ~~Input:~~n=8~~L = {1, 2, 3, 9, 7, 7, 6, 5}~~Outpt:~~List w/o odd: 2 6 ~~  Mark/s obtained: 0 out of 20~~~~~~Your output:~~Enter Z1 :~~Enter Z2 :~~The sum is 13.0 + 8.0i~~~~FAILED: Test Case 2: ~~Input:~~n=9~~L = {2, 4, 6, 8, 9, 7, 5, 3, 1}~~Output:~~List w/o odd: 2 6 4 8 ~~  Mark/s obtained: 0 out of 20~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Stucture for node defined~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~Linked List stored~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~checked odd~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~removed odd numbers~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 5:~~printed list~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22IM30014;10;10;10;10;10;20;10;80;========= TEST CASES =========~~~~~~Your output:~~2  9  7  5  ~~~~FAILED: Test Case 1: ~~Input:~~n=8~~L = {1, 2, 3, 9, 7, 7, 6, 5}~~Outpt:~~List w/o odd: 2 6 ~~  Mark/s obtained: 10 out of 20~~~~~~Your output:~~4  8  7  3  ~~~~FAILED: Test Case 2: ~~Input:~~n=9~~L = {2, 4, 6, 8, 9, 7, 5, 3, 1}~~Output:~~List w/o odd: 2 6 4 8 ~~  Mark/s obtained: 10 out of 20~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Stucture for node defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Linked List stored~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~checked odd~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~removed odd numbers~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Code Case 5:~~printed list~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 80 ############
22EE30027;0;0;0;0;0;0;0;0;========= TEST CASES =========~~~~~~Your output:~~z1: z2: z = 10.0 + 4.0i~~~~FAILED: Test Case 1: ~~Input:~~n=8~~L = {1, 2, 3, 9, 7, 7, 6, 5}~~Outpt:~~List w/o odd: 2 6 ~~  Mark/s obtained: 0 out of 20~~~~~~Your output:~~z1: z2: z = 13.0 + 8.0i~~~~FAILED: Test Case 2: ~~Input:~~n=9~~L = {2, 4, 6, 8, 9, 7, 5, 3, 1}~~Output:~~List w/o odd: 2 6 4 8 ~~  Mark/s obtained: 0 out of 20~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Stucture for node defined~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~Linked List stored~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~checked odd~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~removed odd numbers~~  Mark/s obtained: 0 out of 20~~~~~~FAILED: Code Case 5:~~printed list~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30028;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
