"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (10)";"Code_2 (10)";"Code_3 (30)";"Code_4 (10)";"Total_Marks (100)";"Comments"
21CS30010;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21CS10078;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30008;0;0;0;0;10;10;30;10;60;========= TEST CASES =========~~~~~~Your output:~~~~~~FAILED: Test Case 1: ~~IN:~~3~~~~Exp OUT:~~Yes~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~~~~~FAILED: Test Case 2: ~~IN:~~10~~~~Exp OUT:~~No~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~~~~~FAILED: Test Case 3: ~~IN:~~13~~~~Exp OUT:~~Yes~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~~~~~FAILED: Test Case 4: ~~IN:~~0~~~~Exp OUT:~~Ye~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken user input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~fibonacci numbers generated~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~used recursion to generate fibonacci~~  Mark/s obtained: 30 out of 30~~~~~~PASSED: Code Case 4:~~checked number with generated number~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
22AG10021;10;10;10;10;10;10;30;10;100;Perfect~~~~========= TEST CASES =========~~~~~~Your output:~~Enter the number to be checked~~Yes~~~~Your output:~~Enter the number to be checked~~No~~~~Your output:~~Enter the number to be checked~~Yes~~~~Your output:~~Enter the number to be checked~~Yes~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken user input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~fibonacci numbers generated~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~used recursion to generate fibonacci~~  Mark/s obtained: 30 out of 30~~~~~~PASSED: Code Case 4:~~checked number with generated number~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS10049;0;0;0;0;0;0;0;0;0;========= TEST CASES =========~~~~~~Your output:~~Enter the total number of elements = The input list contains duplicate numbers of: ~~Maximum number is: 10117056~~Minimum number is: 0~~~~~~FAILED: Test Case 1: ~~IN:~~3~~~~Exp OUT:~~Yes~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the total number of elements = The input list contains duplicate numbers of: 0 ~~Maximum number is: 6421868~~Minimum number is: -1~~~~~~FAILED: Test Case 2: ~~IN:~~10~~~~Exp OUT:~~No~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter the total number of elements = The input list contains duplicate numbers of: 0 ~~Maximum number is: 8328096~~Minimum number is: -1~~~~~~FAILED: Test Case 3: ~~IN:~~13~~~~Exp OUT:~~Yes~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~~~~~FAILED: Test Case 4: ~~IN:~~0~~~~Exp OUT:~~Ye~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~taken user input~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~fibonacci numbers generated~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~used recursion to generate fibonacci~~  Mark/s obtained: 0 out of 30~~~~~~FAILED: Code Case 4:~~checked number with generated number~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22MT10042;0;0;0;0;10;5;15;10;40;========= TEST CASES =========~~~~~~Your output:~~[Code goes into an Infinite Loop]~~~~FAILED: Test Case 1: ~~IN:~~3~~~~Exp OUT:~~Yes~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[Code goes into an Infinite Loop]~~~~FAILED: Test Case 2: ~~IN:~~10~~~~Exp OUT:~~No~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[Code goes into an Infinite Loop]~~~~FAILED: Test Case 3: ~~IN:~~13~~~~Exp OUT:~~Yes~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~[Code goes into an Infinite Loop]~~~~FAILED: Test Case 4: ~~IN:~~0~~~~Exp OUT:~~Ye~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken user input~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 2:~~fibonacci numbers generated~~  Mark/s obtained: 5 out of 10~~~~~~FAILED: Code Case 3:~~used recursion to generate fibonacci~~  Mark/s obtained: 15 out of 30~~~~~~PASSED: Code Case 4:~~checked number with generated number~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 40 ############
22CS10009;10;10;10;10;10;10;30;10;100;Clean Code~~~~========= TEST CASES =========~~~~~~Your output:~~Enter the value :~~YES~~~~Your output:~~Enter the value :~~NO~~~~Your output:~~Enter the value :~~YES~~~~Your output:~~Enter the value :~~YES~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken user input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~fibonacci numbers generated~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~used recursion to generate fibonacci~~  Mark/s obtained: 30 out of 30~~~~~~PASSED: Code Case 4:~~checked number with generated number~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22IM30014;10;10;10;10;10;10;30;10;100;Keep it up~~~~========= TEST CASES =========~~~~~~Your output:~~YES~~~~Your output:~~NO~~~~Your output:~~YES~~~~Your output:~~YES~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken user input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~fibonacci numbers generated~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~used recursion to generate fibonacci~~  Mark/s obtained: 30 out of 30~~~~~~PASSED: Code Case 4:~~checked number with generated number~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22EE30027;10;10;10;10;10;10;30;10;100;Nice work~~~~========= TEST CASES =========~~~~~~Your output:~~Yes~~~~Your output:~~No~~~~Your output:~~Yes~~~~Your output:~~Yes~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~taken user input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~fibonacci numbers generated~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~used recursion to generate fibonacci~~  Mark/s obtained: 30 out of 30~~~~~~PASSED: Code Case 4:~~checked number with generated number~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AG30028;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
