"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (10)";"Code_2 (20)";"Code_3 (30)";"Total_Marks (100)";"Comments"
21CS30010;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21CS10078;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30008;10;10;10;10;10;20;30;100;Good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AG10021;10;10;10;10;10;20;30;100;Clean Code~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS10049;10;10;10;10;10;20;30;100;Keep it up~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22MT10042;10;10;10;10;10;20;30;100;Keep up the good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS10009;10;10;10;10;10;20;30;100;Keep up the good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22IM30014;10;10;10;10;10;20;30;100;Good~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22EE30027;10;10;10;10;10;20;30;100;Good~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AG30028;10;10;10;10;10;20;30;100;Nice work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22MI10032;10;10;10;10;10;20;30;100;Great Job~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22EE10008;10;10;10;10;10;20;30;100;Nice work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22CS30008;10;10;10;10;10;20;30;100;Good work~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
