"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (10)";"Code_6 (10)";"Total_Marks (100)";"Comments"
21CS30010;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21CS10078;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG30008;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22AG10021;0;0;0;0;10;10;0;0;0;0;20;Code fails for all test cases~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~~~INPUT:~~2~~1 2 3 4~~1 0 0 1~~~~Expected OUTPUT:~~1 2~~3 4~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~~~INPUT:~~2~~1 2 3 4~~1 2 3 4~~~~Expected OUTPUT:~~7 10~~15 22~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~~~INPUT:~~3~~1 -1 0 2 -2 9 0 0 1~~9 9 0 0 0 9 -9 -9 0~~~~Expected OUTPUT:~~9 9 -9~~-63 -63 -18~~-9 -9 0~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~~~INPUT:~~2~~1 1 1 1~~1 1 1 1~~~~Expected OUTPUT:~~2 2~~2 2 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Matrix structure defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Dynamically memory allocated correctly~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 3:~~Input taken correctly (getMat defined)~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Matrix print operation is correct~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Mulitply matrix operation is correct~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Correct logic and hence correct output for all test cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 20 ############
22CS10049;10;10;10;10;10;10;10;10;10;10;100;Good~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Matrix structure defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Dynamically memory allocated correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Input taken correctly (getMat defined)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Matrix print operation is correct~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Mulitply matrix operation is correct~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~Correct logic and hence correct output for all test cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22MT10042;0;0;0;0;0;0;0;0;0;0;0;A file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22CS10009;0;0;0;0;0;0;0;0;0;0;0;Nothing in the code~~~~========= TEST CASES =========~~~~~~FAILED: Code didn't compile successfully~~  Mark/s obtained: 0 out of 40~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Matrix structure defined~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~Dynamically memory allocated correctly~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 3:~~Input taken correctly (getMat defined)~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 4:~~Matrix print operation is correct~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Mulitply matrix operation is correct~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Correct logic and hence correct output for all test cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
22IM30014;10;10;10;10;10;10;10;10;10;10;100;Perfect~~~~========= TEST CASES =========~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Matrix structure defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Dynamically memory allocated correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Input taken correctly (getMat defined)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Matrix print operation is correct~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Mulitply matrix operation is correct~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~Correct logic and hence correct output for all test cases~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22EE30027;0;0;0;0;10;10;10;10;0;0;40;Incorrect output for all test cases.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~~~INPUT:~~2~~1 2 3 4~~1 0 0 1~~~~Expected OUTPUT:~~1 2~~3 4~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~~~INPUT:~~2~~1 2 3 4~~1 2 3 4~~~~Expected OUTPUT:~~7 10~~15 22~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~~~INPUT:~~3~~1 -1 0 2 -2 9 0 0 1~~9 9 0 0 0 9 -9 -9 0~~~~Expected OUTPUT:~~9 9 -9~~-63 -63 -18~~-9 -9 0~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~~~INPUT:~~2~~1 1 1 1~~1 1 1 1~~~~Expected OUTPUT:~~2 2~~2 2 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Matrix structure defined~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Dynamically memory allocated correctly~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Input taken correctly (getMat defined)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Matrix print operation is correct~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 5:~~Mulitply matrix operation is correct~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Correct logic and hence correct output for all test cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 40 ############
22AG30028;0;0;0;0;0;0;10;0;0;0;10;Incorrect output for all test cases.~~~~========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~~~INPUT:~~2~~1 2 3 4~~1 0 0 1~~~~Expected OUTPUT:~~1 2~~3 4~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 2: ~~~~INPUT:~~2~~1 2 3 4~~1 2 3 4~~~~Expected OUTPUT:~~7 10~~15 22~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 3: ~~~~INPUT:~~3~~1 -1 0 2 -2 9 0 0 1~~9 9 0 0 0 9 -9 -9 0~~~~Expected OUTPUT:~~9 9 -9~~-63 -63 -18~~-9 -9 0~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Test Case 4: ~~~~INPUT:~~2~~1 1 1 1~~1 1 1 1~~~~Expected OUTPUT:~~2 2~~2 2 ~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Matrix structure defined~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 2:~~Dynamically memory allocated correctly~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 3:~~Input taken correctly (getMat defined)~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~Matrix print operation is correct~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 5:~~Mulitply matrix operation is correct~~  Mark/s obtained: 0 out of 10~~~~~~FAILED: Code Case 6:~~Correct logic and hence correct output for all test cases~~  Mark/s obtained: 0 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 10 ############
